Crop Type,Season,Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Wind Speed (km/h),Sunlight (hours),Disease Name
Sunflower,Autumn,17.392282944928600,83.21969340573450,15.367280345067400,30.713715926413300,14.507217621861500,5.184571155045710,Common Rust
Tomato,Autumn,33.66452267338510,79.79705713375070,6.8545711004064600,55.010078890936200,14.15990325788640,9.175515740105180,Fusarium Head Blight
Oat,Spring,31.131182277709500,60.2750126263943,42.046366719069100,45.75287033948240,9.76874083841558,10.58391294699230,Powdery Mildew
Sunflower,Spring,15.715034767918600,77.12824180785900,6.806025252164160,20.529863909989100,4.776952737213170,9.790012220463120,Rust
Tomato,Summer,13.153828516912100,34.13167559132660,29.192417688388700,23.728996638526500,3.8275127339104600,6.868192027984350,Fusarium Head Blight
Soybean,Spring,27.899732582895500,82.53359738217060,0.23468327683010000,32.213578965300700,4.716816091450910,10.459412243804900,Powdery Mildew
Cotton,Autumn,33.751056738500300,92.50079297861030,10.487494966397700,38.52774583534700,13.954759106993300,11.434332446243400,Powdery Mildew
Millet,Summer,33.35343920406440,71.59195121513340,8.673953377236630,42.18679410004860,18.906835573107200,8.355278301855220,Gray Leaf Spot
Wheat,Summer,20.733227833594200,70.26703963452240,45.68019444133340,24.458577981834800,22.59613339490850,10.074339552405100,Rust
Peanut,Winter,18.18030704843320,89.98702114973260,42.697350962817000,46.42845912054360,7.134127571738500,6.686743324380910,Powdery Mildew
Barley,Summer,14.906630376341400,52.31574223876630,20.45503952260750,37.439315935344,8.180183617900370,8.873081703743960,Gray Leaf Spot
Peanut,Winter,11.601679984857600,85.15943988232090,34.73062621283590,57.85072308708730,9.528390587109440,7.001583164084470,Sheath Blight
Cassava,Autumn,26.99819485934850,62.72271165559440,2.087039960506910,41.48936870445660,18.780864757717500,5.255958734342020,Sheath Blight
Sugarcane,Winter,23.796122466645500,97.99608578087780,44.515761793349800,49.91991510316410,20.713263749032200,9.586797425591220,Fusarium Head Blight
Rice,Autumn,25.415289249516800,44.98702053594310,19.781520482906800,24.47366508471550,15.300356045472600,5.050763655643390,Common Rust
Cotton,Spring,16.019698438162400,68.90160340462830,3.233559202058940,23.606030741951500,11.797432151651300,10.267390049361000,Brown Spot
Sugarcane,Winter,11.60046926178810,80.14952829809920,9.161429201177810,39.30955368252310,16.98951207122980,5.668114038098680,Gray Leaf Spot
Barley,Spring,34.98939289862890,97.00143494741360,4.161378930923920,58.54942966152170,15.352433176534900,11.641665868300600,Northern Corn Leaf Blight
Sorghum,Spring,22.843136508140500,67.50824579002110,15.828538803283800,49.85731455215710,10.075629031114800,10.704404006464500,Rust
Sorghum,Spring,34.1125148102864,63.512685245046600,6.6597502025029600,38.25005450515090,3.685694920683030,7.22134288995038,Powdery Mildew
Barley,Summer,34.43127605257170,31.795024581645100,19.42508670248190,54.846236735987300,10.659183627636700,6.523523962002750,Gray Leaf Spot
Peanut,Autumn,34.87941059129870,98.52118159220210,23.39012777310780,26.723532710909600,17.214149669065400,8.938600155043790,Gray Leaf Spot
Oat,Winter,17.506824067124800,52.28902343568970,13.296978907770200,42.92745125709940,14.571801612910600,10.01428095688760,Rust
Cassava,Winter,15.678074941107500,92.93469252893160,7.992553865162740,31.000563667454300,14.353540307395700,5.321981364752850,Fusarium Head Blight
Barley,Spring,33.24069104967550,86.38300242605490,9.85689726237537,48.10047886555280,22.874795636935800,6.8740707899623700,Gray Leaf Spot
Lentil,Autumn,10.6339976820525,65.25633384901600,11.95907392534500,17.573224521181000,4.690097891734840,10.691463984479700,Common Rust
Sorghum,Spring,11.402167667088100,45.88444767347520,33.974404609525900,45.84491967765660,2.5231044813968000,9.639802451814320,Brown Spot
Oat,Autumn,25.673624050054800,46.95726159670570,4.636818012265560,31.14045517313680,18.22529084070280,7.2456895339534500,Common Rust
Rice,Summer,28.68659101452500,51.64365338276730,26.231221038311100,17.623597279779200,4.920998179358200,9.390237660065440,Blast
Sunflower,Winter,11.779318823623800,41.44998507040950,27.651187576051200,33.3732123257267,22.648354344063300,11.926424806993800,Fusarium Head Blight
Barley,Autumn,29.32683909045640,85.32170333720690,9.333482667107180,41.47389027853050,21.53880562529330,10.252258819682400,Fusarium Head Blight
Cassava,Winter,10.892307873216300,30.216141932540600,30.848596097293600,42.96046812588390,12.832494559236200,7.687884389625670,Blast
Barley,Winter,34.95640917014010,70.76609113858920,0.17710144913004000,41.41343130722700,24.56421841122480,11.32664547746260,Fusarium Head Blight
Millet,Spring,32.08715588727150,33.103306495434200,12.206314861268400,42.08254163509980,23.881271826742100,11.29304626168120,Fusarium Head Blight
Corn,Summer,28.560274835863100,66.46154419071100,15.840730905395800,25.94554218361890,8.439776481631220,9.029207093382570,Gray Leaf Spot
Soybean,Spring,27.776214958119500,92.75209666274010,18.546725577378400,35.53120711053910,6.38382549143256,11.628093997772700,Fusarium Head Blight
Rice,Autumn,34.78876852788520,40.65747692050380,49.925418488007800,42.464900362008800,9.471426868853840,6.423884070930020,Sheath Blight
Sorghum,Spring,17.463123608150900,93.50957181748830,24.651591747670300,29.05069609344980,3.792900046869690,10.667909071875600,Fusarium Head Blight
Tomato,Winter,22.97601237170810,50.721415999204400,0.016515714725845500,28.906824593521500,21.88886818654320,7.323938356069590,Brown Spot
Peanut,Autumn,19.910556464412800,60.47515219904590,14.020967560012500,10.608739290370800,16.07359774028300,7.610666508422340,Fusarium Head Blight
Sorghum,Summer,19.87297812681360,87.74272202493450,28.991586922245100,31.29704996699570,23.094546542106100,9.06940032604885,Fusarium Head Blight
Oat,Winter,33.071004633895900,70.70789157014620,9.485678095847570,52.483960314140500,5.967065074587620,6.119236613338090,Fusarium Head Blight
Lentil,Winter,17.571796783587100,85.34763802955630,45.16618623324470,39.55585714406970,12.547909791680100,11.27087322913500,Rust
Sunflower,Winter,26.933539880046700,73.06814237466490,30.72115504726370,58.73252824527840,4.25578810933534,6.116264816373460,Blast
Sunflower,Winter,31.38597031743560,55.12350392720590,37.5891944815642,45.7988303255601,4.144087676869770,7.402715171023110,Fusarium Head Blight
Barley,Autumn,31.21212786035970,31.396197478906200,13.116670945999600,40.196467901178100,19.179660969909200,8.141028661954380,Rust
Corn,Spring,34.175427283476500,37.4758191466193,13.491363993529400,25.59495015963440,17.459909285690500,7.8015404124380700,Common Rust
Sugarcane,Spring,34.55951518866990,91.78198207384740,22.33647495790580,36.21145063194740,7.52992271413539,10.067155890863000,Blast
Sorghum,Winter,29.0200321857945,75.14947177270000,3.3263007402904200,26.832168001526600,5.31090609503555,9.62149391532446,Brown Spot
Cotton,Spring,17.778833057301200,56.38049767044580,49.34153035466670,44.433535725975800,8.475352349491580,6.756139915713960,Fusarium Head Blight
Sorghum,Spring,32.317224316231600,49.73887144819190,45.378203465821400,25.38535334735910,20.455205954066000,6.151284857940310,Gray Leaf Spot
Sunflower,Autumn,28.497498042256400,49.987386895330600,38.630411517162900,22.94458325369100,13.085474662972600,11.362185007709100,Rust
Corn,Spring,25.801985827705000,53.99921902100370,35.05861106996130,31.78444816061550,20.667883356656700,8.971165812608880,Common Rust
Millet,Summer,33.76795806017220,37.51068244673310,16.426146592482300,39.511412246809300,3.7254955563752700,5.375592759473950,Fusarium Head Blight
Rice,Autumn,16.058189754831300,88.6345344864989,38.256934782032200,36.38001022114990,4.861727338159600,9.650951160895930,Northern Corn Leaf Blight
Cotton,Autumn,26.962612701031700,31.651764939566500,38.41234333336900,39.66398820123820,10.268205066514900,7.149212480679230,Northern Corn Leaf Blight
Soybean,Winter,31.770806344564700,67.83168946209270,12.459362955334700,46.05416951750020,12.7044657262455,8.721167984868860,Powdery Mildew
Sugarcane,Winter,22.02966881255880,45.055608557554600,4.5000577952728200,30.566385058066100,13.686635073465100,8.185584043841140,Blast
Peanut,Summer,10.551081132452800,50.3885837224425,42.60107099802070,56.52501867536310,14.722546697272100,9.687846900569830,Powdery Mildew
Lentil,Summer,11.28549277829710,94.46190920043770,30.382404199786100,33.132485937153700,20.720824232053400,8.892552590494060,Rust
Wheat,Autumn,12.920893981380800,70.87319145867270,28.169277154118400,30.65993356329010,4.386527166547490,9.360530138912150,Rust
Lentil,Spring,31.624006898634800,95.08392083291350,44.40216425804320,25.34717290302130,23.38583378127210,11.14702325295390,Fusarium Head Blight
Corn,Winter,24.06894992651230,54.25708695487190,49.52073771542600,46.669867347275100,14.575859575148800,5.906156635989080,Common Rust
Barley,Winter,21.25533456137390,81.09518503934250,44.8481209602344,53.36587364900480,7.341486453536610,7.460600912766950,Fusarium Head Blight
Rice,Autumn,13.534207481299600,75.27886164914500,4.162149164524630,12.944098992494400,2.794441108743040,8.315549791976730,Northern Corn Leaf Blight
Cotton,Spring,32.356401143406200,45.251947482356100,21.705013820186100,36.80673172864270,16.520406946886500,6.109062266950270,Brown Spot
Sugarcane,Spring,27.874120763497800,48.01767824442840,2.899691965034760,34.6506455955934,19.19707975465670,6.004569513063020,Brown Spot
Millet,Summer,24.188169100043700,38.38963091733130,6.512746665579960,38.81284923783030,23.74521174099520,9.820675599165230,Blast
Corn,Spring,15.815034483813600,75.0658544969184,20.2797514267406,42.593448961416900,22.560684041188300,6.833126457617040,Brown Spot
Lentil,Spring,30.760432252872600,99.08795036850290,9.853774606513680,26.548709448839300,2.3403731438255300,11.605530217082200,Common Rust
Wheat,Spring,33.5900137412063,93.3775054662909,16.78769400069640,27.256038578885600,7.99262887561564,6.439294754034990,Sheath Blight
Tomato,Spring,27.890506704699700,53.191226689471000,36.46517467801570,53.284273982611500,23.471856055527800,5.98418673140767,Brown Spot
Barley,Winter,12.298894501773000,54.961472357089900,17.452007035014100,54.612813144228000,23.362902509895000,5.232808372063370,Powdery Mildew
Sunflower,Spring,28.233983165325700,35.24609421153200,41.113941349919500,56.68667562959500,8.634880778893000,11.431988882450400,Gray Leaf Spot
Oat,Spring,21.88364262570230,35.737867307088000,20.861266834658400,10.869125664739300,16.887896690435100,9.745981677939710,Common Rust
Tomato,Autumn,34.99562068942290,98.1550524525071,24.714554867688900,49.8861149072394,6.042706895326670,7.082997931821460,Blast
Lentil,Spring,11.16600544557260,63.08749874390270,16.437140280670000,26.61560393406760,19.658433693301600,10.481431607614200,Fusarium Head Blight
Peanut,Autumn,31.989477140273000,53.67466845652270,16.388177732914100,35.93229623054750,8.432777079918400,9.817360375335410,Rust
Tomato,Autumn,26.720286897415300,50.98543397423070,25.602182192072000,32.35461372795160,8.311776899345880,10.995742227412500,Blast
Barley,Winter,23.063385650645100,87.09463714900090,39.19591279786550,57.66085058518890,7.557688010036050,5.837149035791410,Brown Spot
Peanut,Autumn,22.158620103709000,67.66714984061300,44.19868219343740,25.051126220021400,8.883603145427800,7.207263477071840,Common Rust
Sorghum,Summer,34.10568320624440,48.15956273584340,12.41153644308560,44.357216479181800,2.67888482678649,6.285369837122690,Brown Spot
Sorghum,Spring,14.490166884417000,77.09039658172170,12.314305939262900,20.693983193272200,18.117947361548100,7.6731307890045900,Rust
Cassava,Spring,32.29345207630830,30.065583755868200,25.638882922353,47.087370729976400,11.643890517560800,5.356740224370960,Sheath Blight
Peanut,Summer,27.91245290938140,35.376005710362600,28.486999325547600,55.0141077461111,12.331879947143100,6.475166933011110,Rust
Barley,Winter,15.61899692152840,61.2956942347882,8.043004169341280,50.094685321137900,4.1889984167161700,10.94683928704460,Northern Corn Leaf Blight
Sunflower,Summer,30.664574017635400,72.8990483430909,47.220265710799100,50.30444511014620,3.792589435841810,5.875559487342170,Sheath Blight
Barley,Summer,18.199943431120200,99.72806081997750,7.500050519351760,29.17996511803090,2.415688586106090,6.73484379131747,Gray Leaf Spot
Wheat,Spring,23.22397996047640,35.47202265305130,5.859584982202980,15.489832295945200,13.050937456751400,6.557711995868230,Rust
Soybean,Autumn,24.31057597054820,89.46134244925220,17.676312647747900,22.61267310497730,15.102947113723100,10.785420503169400,Common Rust
Oat,Summer,32.21604086720570,34.67103858094230,22.25291466539240,21.64899799300270,19.21722882299350,7.894228955572990,Sheath Blight
Rice,Autumn,27.308958160377800,43.199442113321000,6.012712946301850,13.539374102447500,8.039487193560720,9.182342068209170,Fusarium Head Blight
Cassava,Summer,11.582597116546300,51.88651623932680,21.76144715325970,23.91649314122900,0.6807438480103600,7.950932241057090,Gray Leaf Spot
Sorghum,Summer,18.208951666942400,74.06178290787720,40.04071524669160,54.80408804584050,21.886236241317300,6.152205498799160,Blast
Peanut,Spring,16.369279369584800,94.7879965123897,0.749970083278928,53.262495461538800,8.376961613527110,5.0214490869714300,Sheath Blight
Sunflower,Spring,18.16854523977910,76.17491472574490,34.780640553870000,12.279161123729800,7.306816705862030,11.329806846877600,Brown Spot
Sugarcane,Spring,30.710227437365100,92.92438191594070,31.704978695139500,38.60701470068890,9.175664330110160,11.6459021974247,Common Rust
Millet,Spring,12.083244838770600,98.46519015473550,24.736184085228900,59.875160218837600,9.786434120723030,10.52536995082710,Rust
Corn,Spring,14.666869649796400,61.53065402358200,4.486152509386180,30.706468885555000,13.472002101717000,8.79342862913473,Blast
Millet,Summer,26.870089074433000,49.7910688658185,44.180924155569100,59.084971213138200,8.279842753553280,9.688682879796940,Fusarium Head Blight
Sugarcane,Winter,20.548101439413600,51.60969119985610,32.56635596834770,31.362899152796400,3.379951149230490,6.559590307443430,Brown Spot
Tomato,Spring,18.798910030579400,99.80522128683920,14.24798753331970,42.698835680396300,20.668749906650800,7.797641297918920,Common Rust
Sugarcane,Autumn,17.553672825352300,66.28601279380170,25.792450724626200,16.70055415047480,2.6259759672685300,11.27373341692670,Northern Corn Leaf Blight
Lentil,Spring,19.565336398488200,85.07416198620690,6.998785933136340,23.020295948009300,4.7040322319392800,11.846260613611100,Common Rust
Corn,Winter,32.57120120357710,34.02560644637640,38.06344929234100,15.32823501246620,8.486542829579420,5.596000314235350,Gray Leaf Spot
Cotton,Winter,27.090144819280600,85.03816884058720,17.1528217112302,39.14823835442830,11.233357781847100,7.495057367152960,Brown Spot
Rice,Autumn,13.133205492623700,31.657743196610100,9.188946479128530,27.700772992408000,10.466974649585100,5.720154624390330,Fusarium Head Blight
Sunflower,Autumn,18.61854178742600,92.39193812185820,25.266007800992800,32.75607070857870,9.442504195432350,7.587848873067760,Rust
Sunflower,Spring,10.634066616702100,32.879610552903900,47.491096571777700,43.88336315254160,21.777888269945100,8.453249582585550,Gray Leaf Spot
Soybean,Winter,19.635182600824800,33.14005838528520,5.961129260137300,32.85909436390960,18.01557034995030,7.424505934670640,Gray Leaf Spot
Lentil,Summer,16.325766973944600,91.05124257968300,13.007295680726100,50.45774125475130,3.194489294528150,5.326167803753750,Northern Corn Leaf Blight
Lentil,Winter,17.90785388924640,59.02654127587520,30.203354529330900,32.969103920221400,5.473033332517780,11.749917446545500,Brown Spot
Wheat,Summer,15.87180142848880,38.152858607586400,14.833952517197000,49.48616202906960,16.31179368749100,9.282691986435430,Brown Spot
Lentil,Summer,22.59355350843210,52.82399763623850,26.47058710324920,15.726709277703400,12.56636770804750,11.192307800315200,Common Rust
Peanut,Autumn,14.734201886231300,60.672006491766700,3.847970322041480,43.189243304972600,13.093059853337800,5.58392697862487,Fusarium Head Blight
Sugarcane,Spring,19.341655810917100,86.08908757377510,31.641520055137100,14.42927381844650,0.662630211219084,7.337979057960600,Blast
Wheat,Summer,12.470049538064500,73.26163570510530,18.813633348439400,26.85789125409350,1.9520343920588100,6.397877473754130,Gray Leaf Spot
Soybean,Spring,25.119284836647200,70.1236842470417,14.361388934445200,31.867763651650700,14.354692537975700,10.606151406291300,Sheath Blight
Tomato,Winter,13.761385997817200,94.68005603940030,10.716169743587900,52.75200223466190,13.334935035806600,9.992707352109710,Northern Corn Leaf Blight
Rice,Winter,11.576415570763100,96.99623722744320,46.40736433298860,17.589650847833500,16.770748153686600,10.694150401135600,Fusarium Head Blight
Tomato,Summer,34.555978042999300,99.86314542747970,37.131906171416700,53.312022147368900,20.80289979876040,7.177883505916400,Rust
Soybean,Winter,10.53869549606070,61.66998602354130,35.95678971755820,10.707212680942400,16.653506419649100,7.2768166122074600,Northern Corn Leaf Blight
Oat,Spring,17.327612119484400,91.10127179384180,47.93316074103670,19.230644291392700,20.368283538861100,9.809751504202020,Powdery Mildew
Cassava,Summer,16.45567706142660,89.06145082864710,28.618997673100800,39.77481278855010,3.6459886956776000,11.027748915716500,Common Rust
Millet,Spring,14.812906349601000,87.09156101243950,0.14939960019455000,22.505087652725000,12.495365554883700,5.146171558389330,Common Rust
Tomato,Autumn,29.471956921249500,57.279140187982300,39.65058278700480,33.92776921547620,0.9147593379505800,6.1786466751237300,Powdery Mildew
Peanut,Summer,31.195115691188600,59.511548992448700,20.513280292773600,42.57722806037810,18.90682656399430,9.45376440100373,Sheath Blight
Lentil,Spring,17.51142364331180,82.67606454788950,40.79672982104700,59.14171194926110,2.5022550278758400,6.539561073544890,Northern Corn Leaf Blight
Cassava,Winter,15.686338205222400,88.45299917502460,32.38922056678000,36.72942133209540,6.968849025414700,11.4377781178271,Northern Corn Leaf Blight
Peanut,Winter,13.298009051466000,31.040365764427300,46.18268400348590,37.80674671398660,6.6796714058926600,5.0816993808226000,Rust
Sugarcane,Winter,17.840012119167000,32.0859125023785,20.04661544907250,55.650410357952900,7.039928035862400,6.421953999869250,Northern Corn Leaf Blight
Peanut,Winter,29.424844274934600,82.18272519345980,33.66685771423860,33.26393262272990,1.2274081737429100,6.104882195242810,Fusarium Head Blight
Soybean,Winter,12.009636445825300,51.559967470498300,20.017430432717900,34.80139077380870,9.431684662589430,11.675550805634800,Brown Spot
Lentil,Autumn,25.741258562240600,73.7577338930725,27.44629946072270,54.431117327213600,23.1931406193848,5.870588174435620,Fusarium Head Blight
Corn,Spring,21.087892738793200,81.50995913892190,0.17067175735006000,44.05339418454750,7.9129939535405300,9.15264471900143,Northern Corn Leaf Blight
Barley,Spring,31.0705099049054,95.88036256739060,15.525846974315700,13.466237974097800,19.679909872632800,9.184959898773070,Powdery Mildew
Oat,Summer,24.261123712988100,94.56541256356220,8.634125303383470,29.992871572656200,24.286127374026300,5.6275696724121700,Rust
Soybean,Spring,23.786278581974900,57.00102148274730,9.908011248510480,54.69787372278790,0.4154144330347390,8.780798456468350,Brown Spot
Sunflower,Autumn,20.646904058979200,72.13495325542460,21.935748540471800,54.09930594459260,1.6646081189686000,8.250926476556410,Fusarium Head Blight
Cotton,Autumn,17.66930738263690,77.46297110988750,1.6859043053697200,55.576150370997100,19.59930000416110,9.454481344272140,Brown Spot
Wheat,Winter,13.105927111749400,67.50962724353740,12.885965095582200,23.698480998004900,18.23147863669750,11.13472942384030,Blast
Soybean,Winter,15.092376228105800,73.93154241814420,45.017622459248300,15.731770345973200,5.8235085782360500,8.370687724014820,Fusarium Head Blight
Oat,Winter,13.418923179715100,55.319819234932000,3.2771406682753300,16.44649932366310,14.106039353748200,11.397698638938900,Blast
Barley,Winter,31.02247375683510,99.95841923742160,6.146789824743430,12.894966360000800,4.480193970903710,11.234296808094400,Northern Corn Leaf Blight
Rice,Summer,15.230027509561100,95.37883006693020,40.55201487685920,45.57740794220750,21.564209089625600,6.0780080041991900,Northern Corn Leaf Blight
Cassava,Spring,13.497844807394900,89.83342684588870,39.45731058631940,36.17083070805530,20.72784911433000,9.043528534031400,Sheath Blight
Soybean,Autumn,20.522561511516700,54.522204440278,17.311980618265400,40.995881509355200,7.154899731710980,11.0139215510807,Blast
Corn,Winter,34.03104703877120,65.32065672790000,43.516665469908400,12.603122779691100,13.049831076530600,6.07322087533806,Common Rust
Lentil,Autumn,21.146825295399500,69.26368292356200,41.044825174127300,51.28108474191100,6.715109440487930,10.664008893398600,Common Rust
Corn,Spring,14.961656694653200,56.30183593140020,9.860484841248370,25.88869231773720,14.390989307540300,7.250956970076840,Gray Leaf Spot
Lentil,Spring,17.384560081243400,64.17042891922090,11.504218574904900,19.050910547977300,10.803215472922400,11.925009757060000,Sheath Blight
Rice,Summer,26.733725073686200,94.62555587505070,16.284870773776800,15.354352927809900,22.07921958268590,5.189066904943660,Fusarium Head Blight
Sorghum,Winter,20.947808953839300,89.01540435892960,20.162762291366000,16.82908102226450,17.995532986304500,7.1585649976151000,Common Rust
Rice,Autumn,34.342506790451200,37.413535529342400,40.58651899887870,49.44789295180750,9.560560549015190,11.237761490777000,Brown Spot
Rice,Summer,19.27995079635340,47.95578113749770,37.125129671641600,12.498260710981500,12.34335635676460,10.060332970548400,Fusarium Head Blight
Peanut,Summer,25.58736527645230,33.15790008436700,37.28812902993730,58.691243049861,15.212237992332100,10.160907468672000,Common Rust
Cotton,Spring,13.262162653513300,44.782513936369,19.181282270435600,32.36036373318720,16.306182438740200,9.566659235737310,Sheath Blight
Lentil,Spring,11.129597587480500,66.73562729811290,30.113504601191800,56.21576785831040,1.7091233847046700,8.310087035658990,Brown Spot
Wheat,Summer,28.622925620816300,72.53833690163670,1.3598986182131000,49.910015992748800,16.591173744190400,6.265096378435910,Brown Spot
Sunflower,Spring,20.347634808485700,62.129223746372600,23.55729621001070,56.15550891740720,12.879590412565200,7.571452469089890,Gray Leaf Spot
Tomato,Autumn,31.33648126268010,38.66217723267120,41.84847454445600,35.927515440911200,8.125975314079830,11.67212633504140,Sheath Blight
Corn,Winter,20.16141279673190,66.06736839625200,37.1180300613508,24.491498524426300,2.1920358534673900,9.078581900756740,Blast
Wheat,Summer,13.334000082722700,58.72626415086670,1.561111539408330,39.58916026309130,2.049273550626810,5.804157479577550,Gray Leaf Spot
Millet,Spring,14.056788850626800,77.39334651614520,45.226739107074100,58.75511612444050,2.6413424717285400,11.861447439436400,Fusarium Head Blight
Lentil,Autumn,31.957878936275400,51.77020408761310,39.01266597406610,54.47068979178600,7.724049866813790,11.988929534501800,Northern Corn Leaf Blight
Corn,Winter,25.372191664096500,85.48148594846790,25.50548952233190,37.05601811022540,6.711131478844540,6.585851689667420,Blast
Wheat,Autumn,31.800720176436100,43.16747890743620,46.343559087167900,29.281871125384100,15.839808006404100,11.761874058005400,Sheath Blight
Tomato,Summer,16.089466093280000,90.35752654675910,44.64915614512350,36.488027521769000,0.21894371357190900,5.045258560646000,Sheath Blight
Peanut,Autumn,21.91416785550330,64.74778299912480,37.43271374584340,41.48428482754740,9.47097661331025,11.410427664427200,Brown Spot
Cassava,Winter,21.56253731692270,34.62947814844860,17.878245656726000,12.839420191954700,12.324362030335400,8.721802608216540,Rust
Tomato,Summer,28.485904999548100,32.677040661325200,4.9208866715954800,46.83143458158770,15.691868091853200,8.667472044312000,Powdery Mildew
Sugarcane,Summer,23.865570248418600,72.13460754158370,15.909553119769900,59.444296319088800,21.318171755836700,7.295169050652320,Blast
Oat,Autumn,34.940030013096400,40.986495387138800,43.98078545904330,55.93637868941340,15.203792390192600,9.355789414441430,Rust
Cotton,Autumn,16.882853514301900,48.45725657997470,6.082793321274830,50.01286702983580,23.038289789580300,10.99928828654110,Brown Spot
Barley,Winter,34.05624455184060,40.953223121596800,43.94127935755080,40.601037267747800,18.108673312934300,6.701721380760030,Common Rust
Peanut,Summer,16.259605929367900,66.37847326381680,23.080014987086900,31.178624300465000,0.8513921123508770,9.804780232349060,Northern Corn Leaf Blight
Rice,Autumn,16.78108552023730,95.55342660619440,29.347249487473700,22.509748631701500,20.612237627060200,9.384413621663910,Blast
Sunflower,Spring,24.201734700308300,42.58937842471260,3.4455884467921800,56.82764516313610,21.760287806854000,10.649815913652200,Blast
Corn,Summer,26.612638200547000,53.02356908788940,32.1280102277904,23.01928502250600,7.033808508211440,5.191018816428770,Brown Spot
Corn,Autumn,28.02460070536180,61.99074801828080,42.128382780452700,10.362846609457300,9.636746496743910,8.984023174747500,Powdery Mildew
Sorghum,Summer,34.17904426929020,54.90024820156880,46.550553448969800,18.48976251028260,15.273976503694900,7.0368521101565200,Brown Spot
Soybean,Autumn,24.192877349712400,90.09086786324530,23.35997257545570,49.17470606852780,15.958893123903400,5.80218685881287,Gray Leaf Spot
Millet,Winter,23.832600720259700,58.07687874255320,33.259966204146500,21.120332558177600,18.6669461835432,8.652034274537170,Blast
Peanut,Autumn,28.35573477944240,95.09940557953090,23.603432594325700,50.886393085511800,12.514707578972800,9.211531025290980,Northern Corn Leaf Blight
Wheat,Winter,28.471263751999300,73.7188093852777,30.352834816311300,49.02963283591160,11.232709057591300,8.671169022379560,Fusarium Head Blight
Rice,Winter,28.217628914170000,55.30676376137110,30.858255486073500,38.679995060864900,22.599912333504700,5.009207932940800,Common Rust
Rice,Autumn,30.395775048594100,60.9827895653634,14.262914036872600,53.700039759878000,8.387301066937720,6.232686547348990,Fusarium Head Blight
Tomato,Summer,34.34787771758870,98.94316022050580,26.474076315509300,48.23119952789100,0.42437451115929200,10.498670469542500,Brown Spot
Sugarcane,Summer,32.87266010971750,86.15316504690840,16.820206911333500,29.21073452770890,2.1229986091424700,5.301180292079780,Brown Spot
Cotton,Summer,22.323981220585500,97.23348627494880,15.280886708068100,52.9497326631987,8.633996352299170,5.051330618736090,Common Rust
Sorghum,Winter,12.994715644603300,56.26656616240850,33.019034850306900,24.31296261604310,10.559688838985400,7.2888353055805,Sheath Blight
Sunflower,Autumn,32.04333150615260,75.85368365918240,7.315414269863800,19.813584392653600,13.920810930277200,8.086249553335440,Fusarium Head Blight
Millet,Spring,15.350611233009900,39.27277209619050,5.066646979650140,47.8285271948285,23.64107406869740,6.680437185826050,Rust
Sunflower,Autumn,22.626041967079100,93.00171903057170,34.30289064291680,48.62157122275550,16.74676506386400,5.463314416592850,Sheath Blight
Cotton,Autumn,17.490529930784900,98.58357022349940,24.73344015989990,17.441855194100600,5.992778184209060,10.443444195107800,Sheath Blight
Cassava,Winter,32.024736576957300,94.76908397433410,7.485610258893370,30.011617766745700,22.796161981294900,8.143912528545700,Sheath Blight
Lentil,Summer,11.379948810481000,78.22446578209720,26.13823245214220,36.4735826601311,16.38254091213430,11.57325872425420,Powdery Mildew
Sugarcane,Summer,19.470626155356700,40.04927034465190,0.539350715168796,33.06111409013560,9.195599020453220,11.754718001464300,Brown Spot
Peanut,Winter,13.115161959547100,55.967540726455600,23.845214514934600,28.309006836667800,11.035311333715600,11.07723608664260,Brown Spot
Sunflower,Winter,11.784071985243300,67.25562621252,16.611079203188600,37.085145687156400,21.67757915254020,7.64423189094094,Rust
Sugarcane,Summer,25.483553134892500,85.01097216493530,38.306411204364000,34.03843950546560,8.070161635471260,7.071499245097040,Fusarium Head Blight
Millet,Autumn,30.300958222659400,75.12451661669080,30.960537930114900,30.714704548707300,9.653745702475120,7.081835429780150,Fusarium Head Blight
Peanut,Autumn,10.28160465987770,65.58088699701180,22.52402301201510,26.723597759384600,12.9614907940348,11.237859554393400,Sheath Blight
Wheat,Autumn,24.400444805952400,53.02510223699570,10.400248416085100,17.284157604755700,7.816886397548700,9.258768426753820,Gray Leaf Spot
Cotton,Summer,18.972765142238700,68.10791789691710,8.789158065545380,20.56834477613760,18.13774911737070,6.244648940120810,Northern Corn Leaf Blight
Soybean,Spring,22.06100161205460,85.74563458380120,2.393878256075950,50.82576165338550,18.22094906673270,9.9202837622387,Fusarium Head Blight
Cassava,Spring,13.25505324253310,58.52056429419910,4.703942891680530,41.96883911290000,4.573103913070290,7.388726211155870,Rust
Sugarcane,Spring,25.867691136552300,37.12952014382790,20.334153000967000,44.202046668440500,24.648269073288600,6.868954644615930,Powdery Mildew
Soybean,Spring,24.254621141277200,86.59746924225430,13.233235223324400,32.114443938060300,22.136041942502300,6.131536198447020,Gray Leaf Spot
Wheat,Winter,22.787118902276300,81.97173011791810,13.258422861300500,24.321513718815200,0.12387263228003700,11.429072957977900,Powdery Mildew
Lentil,Autumn,18.611247370692700,77.01703653654680,4.45605047034644,13.080324070189300,9.725421043658590,9.232894215168930,Powdery Mildew
Barley,Spring,29.59278614824920,42.860434162394800,24.546555531632500,20.765999571000700,10.83501048354030,11.555967545447000,Gray Leaf Spot
